TAG	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0051	fig|1121259.3.peg.1381	-	-	-	-	-	-	-	-	-	-	-	-
TAG0052	fig|1121259.3.peg.1383	-	-	-	-	-	-	-	-	-	-	-	-
TAG0053	fig|1121259.3.peg.1384	-	-	-	-	-	-	-	-	-	-	-	-
TAG0054	fig|1121259.3.peg.1386	-	-	-	-	-	-	-	-	-	-	-	-
TAG0055	fig|1121259.3.peg.1387	-	-	-	-	-	-	-	-	-	-	-	-
TAG0056	fig|1121259.3.peg.1388	-	-	-	-	-	-	-	-	-	-	-	-
TAG0057	fig|1121259.3.peg.1389	-	-	-	-	-	-	-	-	-	-	-	-
TAG0058	fig|1121259.3.peg.1390	-	-	-	-	-	-	-	-	-	-	-	-
TAG0059	fig|1121259.3.peg.1391	-	-	-	-	-	-	-	-	-	-	-	-
TAG0060	fig|1121259.3.peg.1392	-	-	-	-	-	-	-	-	-	-	-	-
TAG0061	fig|1121259.3.peg.1393	-	-	-	-	-	-	-	-	-	-	-	-
TAG0062	fig|1121259.3.peg.1394	-	-	-	-	-	-	-	-	-	-	-	-
TAG0063	fig|1121259.3.peg.1410	-	-	-	-	-	-	-	-	-	-	-	-
TAG0064	fig|1121259.3.peg.1426	-	-	-	-	-	-	-	-	-	-	-	-
TAG0065	fig|1121259.3.peg.1428	-	-	-	-	-	-	-	-	-	-	-	-
TAG0066	fig|1121259.3.peg.1447	-	-	-	-	fig|31899.10.peg.171	-	-	-	-	-	-	-
TAG0067	fig|1121259.3.peg.1449	-	-	-	-	-	-	-	-	-	-	-	fig|632518.3.peg.2341|Calow_2184
TAG0068	fig|1121259.3.peg.1451	-	-	-	-	-	-	-	-	-	-	-	-
TAG0069	fig|1121259.3.peg.1456	fig|1214564.3.peg.1178	fig|1387555.3.peg.2544	"fig|1387557.3.peg.2786,fig|1387557.3.peg.94"	-	fig|31899.10.peg.178|SAMN05216182_0106	fig|351627.8.peg.588|Csac_0511	fig|608506.3.peg.2399|COB47_2232	fig|632292.3.peg.2637|Calhy_2510	fig|632335.8.peg.77|Calkr_0050	fig|632348.3.peg.2595|Calkro_2459	fig|632516.3.peg.486|CallaDRAFT_0467	-
TAG0070	fig|1121259.3.peg.1462	-	-	-	-	-	-	-	fig|632292.3.peg.736|Calhy_0678	-	-	-	-
TAG0071	fig|1121259.3.peg.1463	-	-	-	-	-	-	-	-	-	-	-	-
TAG0072	fig|1121259.3.peg.1470	-	-	-	-	-	-	-	-	-	-	-	-
TAG0073	fig|1121259.3.peg.1472	-	-	-	-	-	-	-	-	-	-	-	-
TAG0074	fig|1121259.3.peg.1474	-	-	-	-	-	-	-	-	-	-	-	-
TAG0075	fig|1121259.3.peg.1475	-	-	-	-	-	-	-	-	-	-	-	-
TAG0076	fig|1121259.3.peg.1478	-	-	-	-	-	-	-	-	-	-	-	-
TAG0077	fig|1121259.3.peg.1479	-	-	-	-	-	-	-	-	fig|632335.8.peg.2788	-	-	-
TAG0078	fig|1121259.3.peg.1490	-	-	-	-	-	-	-	-	-	-	-	-
TAG0079	fig|1121259.3.peg.1491	-	-	-	-	-	fig|351627.8.peg.43	fig|608506.3.peg.2482	-	-	-	-	-
TAG0080	fig|1121259.3.peg.1492	-	-	-	-	-	-	-	-	-	-	-	-
TAG0081	fig|1121259.3.peg.1493	-	-	-	-	-	-	-	-	-	-	-	-
TAG0082	fig|1121259.3.peg.1494	-	-	-	fig|1387569.3.peg.217	-	-	-	-	-	-	-	-
