CHB_40595 = CHB_16108 + CHB_29052	R01068	20894.97663758672
C02739 + CHB_18361 = CHB_15422 + C00119	R01071	90894.93601116526
C03090 + CHB_18361 + CHB_29985 = CHB_18050 + C00119 + CHB_15377	R01072	63446.240936240036
C04302 + CHB_18361 = C00108 + C00119	R01073	60310.2840922435
CHB_15422 + C00120 = CHB_18361 + C05921	R01074	-24244.898054553603
C01909 + CHB_17561 + CHB_15414 = C00120 + CHB_16643 + C05198 + CHB_16977	R01078	-213791.86180790848
CHB_15589 = CHB_29806 + CHB_15377	R01082	3369.5214562547917
C03794 = CHB_29806 + CHB_16027	R01083	38569.70612518332
C03406 = CHB_29806 + CHB_16467	R01086	12678.126219715108
CHB_15603 + CHB_16810 = C00233 + CHB_29985	R01090	-7320.560472446901
CHB_15422 + CHB_4139 = CHB_16761 + CHB_37480	R01092	-15111.990356169059
CHB_36219 + CHB_15377 = CHB_4167 + CHB_4139	R01100	-11401.846333505353
CHB_28053 + CHB_15377 = CHB_4139 + CHB_4167	R01101	-10843.471954119392
CHB_16634 + CHB_15377 = CHB_4139 + CHB_17992	R01103	27649.78170591453
C05401 + CHB_15377 = CHB_4139 + CHB_17754	R01104	-653.1477756515378
CHB_17202 + CHB_15377 = CHB_18381	R01127	3376.701423135266
CHB_17202 + CHB_15846 + CHB_15377 = C00655 + CHB_16908	R01130	13223.016360281938
CHB_17202 + CHB_18361 = CHB_17368 + C00119	R01132	30628.284049943693
CHB_15996 + CHB_17202 + CHB_29991 = CHB_17552 + CHB_26078 + C03794	R01135	-22722.313440347556
CHB_15422 + 2 CHB_15570 = CHB_16761 + CHB_26078 + C00993	R01150	-33257.11979882291
C00179 + CHB_15377 = C00134 + CHB_16199	R01157	-51361.89185180252
C00860 + 2 CHB_15846 + CHB_15377 = CHB_15971 + 2 CHB_16908	R01158	-28626.384239883977
C00136 + CHB_16238 = CHB_17877 + C00877	R01175	33152.04779196565
CHB_17268 + CHB_15846 = C00691 + CHB_16908	R01183	9546.306489027338
CHB_17505 + CHB_15377 = CHB_17268 + CHB_4139	R01194	-2348.3757608578308
C04039 = C00141 + CHB_15377	R01209	-42928.30331864531
C00141 + CHB_15346 + CHB_15846 = C00630 + CHB_16526 + CHB_16908	R01210	-24331.748492347193
C02504 + CHB_15346 = CHB_15351 + C00141 + CHB_15377	R01213	20043.972996416152
CHB_16414 + CHB_16810 = C00141 + CHB_29985	R01214	-6261.324620919913
CHB_17094 = C00141 + CHB_16842	R01216	26742.591803470044
CHB_1989 + CHB_18009 = CHB_15638 + CHB_16474	R01220	13208.855516975513
CHB_1989 + CHB_16474 = CHB_15641 + CHB_18009	R01224	-48340.22462896176
CHB_1989 + C00141 + CHB_15377 = CHB_15635 + CHB_17094	R01226	521.3635226179613
C00144 + CHB_18361 = CHB_16235 + C00119	R01229	43412.88936021371
CHB_15422 + C00655 + CHB_16134 = CHB_16027 + CHB_18361 + C00144	R01230	-67886.85540274304
C03912 + CHB_16908 = CHB_17203 + CHB_15846	R01248	-31564.960886276443
C03912 + CHB_16474 = CHB_17203 + CHB_18009	R01251	-35896.03220848541
CHB_15422 + C00249 + CHB_15346 = CHB_16027 + CHB_15525 + CHB_18361	R01280	-27223.647429764824
C01077 + CHB_16136 = CHB_17588 + CHB_30089	R01287	-66982.02949748927
C01118 + CHB_16136 = CHB_17588 + CHB_30031	R01288	-54745.84687532467
CHB_30769 = CHB_16383 + CHB_15377	R01325	8541.264881383293
CHB_15422 + CHB_4208 = CHB_16761 + CHB_43896	R01326	-20938.448884811834
C05400 + CHB_15377 = CHB_4208 + CHB_4139	R01329	10854.034946488304
CHB_15422 + CHB_17272 = CHB_16761 + C02876	R01353	33686.1902331732
CHB_57852 = CHB_30851 + CHB_15377 + CHB_16526	R01373	-91200.42140631
CHB_17672 + CHB_29991 = CHB_26078 + CHB_15859	R01397	-20128.806794071308
CHB_17672 + CHB_15729 = CHB_26078 + CHB_16349	R01398	-26152.499459508355
CHB_17509 + CHB_26078 = CHB_16708 + C04188	R01402	15834.875486181292
CHB_53455 = CHS_388344	R01432	5164.069955624349
XOS + 3 CHB_15377 = 4 CHB_53455	R01433_kz	57342.47996429901
CHB_3528 + CHB_15377 = CHB_17057 + CHB_4167	R01444	-13666.842141897912
2 CHB_17057 = C17207_kz + CHB_15377	R01445_kz	-14292.876343220705
C01102 + CHB_15377 = CHB_16857 + CHB_26078	R01466	-21536.463356752676
C01233 + CHB_15377 = CHB_16000 + CHB_15978	R01470	-35226.1251869252
PBC_444791 = CHB_4126	R01482	1061.9010509052314
CHB_16761 + CHB_16001 = CHB_15422 + CHB_17794	R01512	-20220.619380135497
CHB_17794 + CHB_15846 = CHB_18110 + CHB_16908	R01513	36656.40628208722
CHB_15422 + CHB_16659 = CHB_16761 + CHB_17794	R01514	-13683.974531540938
CHB_17794 = CHB_17835	R01518	3759.2927496687917
CHB_15422 + CHB_28552 = CHB_16761 + CHB_17363	R01526	-31039.424866575573
CHB_17363 = CHB_16332	R01529	-2394.5855571592692
CHB_15422 + CHB_17032 = CHB_16761 + C04442	R01541	-18356.06328851945
C04349 + CHB_16908 = CHB_17032 + CHB_15846	R01542	-9060.336640245398
CHB_17306 + CHB_26078 = CHB_4167 + C00103	R01555	12769.998580674932
CHB_16335 + CHB_26078 = CHB_16708 + CHB_35425	R01561	8941.078975113982
CHB_17748 + CHB_26078 = CHB_17821 + CHB_11563	R01570	14021.230901771574
C00819 + CHB_15377 = CHB_29989 + CHB_16134	R01579	-19343.739468782296
C00647 + CHB_16810 = C00018 + CHB_29989	R01580	-4352.53079452354
CHB_15422 + CHS_388344 = CHB_16761 + CHB_16332	R01639	-28044.765484395728
MAN_10207 + CHB_29052 = CHB_52742 + CHB_16332	R01641	2680.592526434746
C00233 + CHB_15346 + CHB_15846 = C02939 + CHB_16526 + CHB_16908	R01651	-24331.489710684167
C04236 = C00233 + CHB_16526	R01652	-18892.79173322633
CHB_15638 + CHB_15377 = CHB_15637	R01655	-4851.828656706522
CHB_16057 + CHB_16584 = CHB_18361 + C00341	R01658	-92948.87877485863
CHB_15918 + CHB_15377 = CHB_17622 + CHB_16134	R01663	-20424.678853185702
CHB_15422 + CHB_15918 = CHB_16761 + CHB_28846	R01665	-146.7977837381768
CHB_16311 + CHB_15377 = CHB_15918 + CHB_18361	R01668	-55253.57666351463
C01269 = CHB_29748 + CHB_26078	R01714	-59848.13676070451
CHB_29748 = CHB_57852	R01715	-44695.62701245042
CHB_29748 + CHB_18050 = CHB_35181 + CHB_29985	R01716	-17889.135304267344
CHB_28189 + CHB_15377 = 2 CHB_4167	R01718	-6422.929299138137
CHB_15940 + C00119 + CHB_15422 + CHB_15377 = CHB_15763 + CHB_18361 + CHB_16761 + CHB_26078	R01724	-39329.46416207399
CHB_57852 + CHB_15846 = C01179 + CHB_16526 + CHB_16908	R01728	-81800.79467001231
CHB_15422 + CHB_18391 = CHB_16761 + CHB_48928	R01737	-14978.732028182887
CHB_17535 = MAN_10208	R01761	5429.683015991992
C02474_kz + 5 CHB_15377 = 6 CHB_17535	R01762	-16499.571033258573
CHB_15422 + CHB_15699 = CHB_16761 + C01102	R01771	-12241.356242600014
CHB_15699 + CHB_18009 = CHB_18051 + CHB_16474	R01775	28148.097139882506
